Date,Site,#,CW,Color,boat,boat+wet,boat+dry,bag,bag+pre,bag+post,crucible,cruc+pre,cruc+post
5/16/22,Bristol,83,17.8,4,1084.296,1338.273,1197.304,197.403,308.989,308.364,2998.160,3110.919,3008.543
5/16/22,Bristol,84,15.8,4,1071.082,1243.565,1148.745,196.854,272.607,272.035,2764.503,2841.602,2769.514
5/16/22,Bristol,85,12.2,3,1091.062,1168.830,1134.217,197.239,238.776,237.938,2752.001,2794.747,2758.274
5/16/22,Bristol,86,17.2,2,1079.287,1286.806,1188.229,198.018,305.850,305.301,2561.642,2670.409,2575.233
5/16/22,Bristol,87,16.5,2,1076.939,1233.299,1162.091,200.463,282.883,282.386,2586.289,2670.185,2595.942
5/16/22,Bristol,88,16.8,3,1135.430,1406.162,1248.898,197.206,308.926,308.540,2888.794,3002.721,2898.715
5/16/22,Bristol,89,20.1,4,1159.876,1558.430,1320.909,197.611,356.114,355.068,2909.171,3067.819,2923.300
5/16/22,Bristol,90,16.0,3,1134.307,1409.431,1219.784,194.558,278.404,277.796,2715.864,2800.754,2724.401
5/16/22,Bristol,91,12.5,2,1067.572,1146.990,1104.252,196.270,231.069,230.607,2960.708,2997.019,2966.934
5/16/22,Bristol,92,18.2,3,1089.075,1374.129,1230.001,193.624,332.954,332.691,2844.444,2984.713,2849.141
5/16/22,Bristol,93,12.5,2,1108.375,1204.845,1157.049,198.498,245.332,244.042,2469.324,2517.530,2470.035
5/16/22,Bristol,94,18.9,4,1067.300,1326.724,1192.160,197.491,320.092,319.529,2874.072,2997.332,2885.770
5/16/22,Bristol,95,13.0,4,1088.376,1126.724,1117.725,198.755,226.340,225.996,2526.409,2555.370,2528.308
5/16/22,Bristol,96,16.7,4,1020.774,1154.443,1102.510,198.256,278.492,278.018,2797.009,2877.964,2801.895
5/16/22,Bristol,97,13.4,2,1113.067,1178.430,1158.451,198.214,241.466,241.211,2974.593,3019.117,2974.767
5/16/22,Bristol,98,13.9,4,1130.437,1216.532,1184.457,192.754,245.788,244.848,3001.990,3055.022,3004.545
5/16/22,Bristol,99,17.1,3,1005.854,1142.683,1082.913,196.383,271.978,271.681,2764.527,2841.375,2772.377
5/16/22,Bristol,100,16.0,3,1069.247,1289.303,1172.965,194.949,297.377,297.007,2751.960,2855.568,2760.700
6/2/22,Scituate,1,21.9,3,1077.605,1550.000,1298.084,185.180,405.368,404.015,2960.665,3181.499,2986.825
6/2/22,Scituate,2,19.5,3,1078.044,1388.691,1208.220,185.732,314.729,311.195,2841.438,2969.568,2846.407
6/2/22,Scituate,3,16.2,2,1128.580,1255.743,1201.365,185.600,256.705,256.162,2470.299,2543.786,2475.306
6/2/22,Scituate,4,19.9,3,1135.131,1402.424,1260.285,185.882,309.075,306.124,2874.683,2997.489,2888.438
6/2/22,Scituate,5,20.0,4,1056.332,1350.748,1198.176,186.547,326.173,324.401,2526.504,2670.170,2548.729
6/2/22,Scituate,6,22.3,2,1108.204,1544.460,1312.966,185.651,388.532,381.291,2799.871,3002.561,2818.370
6/2/22,Scituate,7,16.6,2,1048.711,1221.643,1139.218,185.300,274.047,267.417,2976.247,3064.156,2981.063
6/2/22,Scituate,9,19.6,1,1063.646,1460.655,1197.025,191.959,323.439,319.738,2764.620,2897.203,2772.487
6/2/22,Scituate,10,22.0,3,1055.676,1614.944,1279.660,193.415,414.664,410.350,2752.002,2976.942,2774.538
6/2/22,Scituate,11,19.9,2,1125.467,1409.958,1260.464,186.771,319.505,313.002,2567.774,2700.100,2576.284
6/2/22,Scituate,13,19.5,3,1120.089,1361.211,1221.878,194.112,293.950,289.950,2888.716,2989.566,2900.969
6/2/22,Scituate,14,21.4,2,1055.840,1511.734,1236.173,194.123,371.704,367.785,2909.313,3089.953,2928.396
6/2/22,Scituate,15,18.9,4,1093.499,1436.054,1212.488,195.876,311.141,305.065,2725.043,2839.088,2730.281
6/2/22,Scituate,16,20.5,2,1090.755,1446.914,1244.925,194.196,346.735,342.797,2955.797,3107.006,2957.173
6/2/22,Scituate,17,20.0,3,1129.790,1473.421,1286.663,187.485,352.521,339.641,2835.511,2990.782,2854.928
6/2/22,Scituate,18,19.1,3,1108.582,1296.113,1186.232,187.506,263.573,263.265,2468.913,2545.779,2477.538
6/2/22,Scituate,19,16.4,3,1089.758,1253.311,1162.363,194.666,265.759,262.507,2876.014,2948.003,2881.140
6/2/22,Scituate,20,15.2,3,1122.299,1335.261,1198.702,195.024,269.578,266.296,2526.496,2602.109,2537.015
6/2/22,Scituate,21,14.8,3,1106.196,1189.614,1150.322,191.608,234.355,230.634,2796.284,2839.067,2798.266
6/2/22,Scituate,22,25.0,2,1065.973,1592.150,1277.655,198.024,408.683,402.367,2974.005,3183.122,2992.858
6/2/22,Scituate,23,18.1,1,1094.590,1417.563,1202.441,195.706,302.477,297.908,3003.312,3109.323,3004.436
6/2/22,Scituate,24,20.0,2,1094.274,1488.132,1249.044,192.497,345.691,340.943,2765.185,2917.560,2778.415
6/2/22,Scituate,25,17.1,2,1080.926,1357.002,1179.790,191.783,289.966,285.775,2752.033,2849.665,2758.332
6/2/22,Scituate,26,21.7,3,1069.535,1605.109,1293.155,192.424,411.911,410.516,2565.295,2787.604,2575.940
6/2/22,Scituate,27,18.0,4,1100.807,1332.341,1201.273,192.037,288.386,288.146,2586.474,2686.849,2592.731
6/2/22,Scituate,28,19.4,1,1139.936,1474.318,1254.282,192.158,301.001,296.318,2888.682,2995.944,2895.902
